Barcode,region
s_008um_00356_00306-1,Colon
s_008um_00598_00455-1,SI
s_008um_00479_00220-1,Colon
s_008um_00398_00295-1,Colon
s_008um_00328_00288-1,Colon
s_008um_00450_00515-1,SI
s_008um_00449_00223-1,Colon
s_008um_00282_00581-1,SI
s_008um_00534_00233-1,Colon
s_008um_00504_00496-1,SI
s_008um_00598_00472-1,SI
s_008um_00638_00430-1,SI
s_008um_00429_00518-1,SI
s_008um_00422_00557-1,SI
s_008um_00341_00288-1,Colon
s_008um_00380_00288-1,Colon
s_008um_00573_00226-1,Colon
s_008um_00364_00253-1,Colon
s_008um_00447_00253-1,Colon
s_008um_00563_00437-1,SI
s_008um_00459_00487-1,SI
s_008um_00447_00224-1,Colon
s_008um_00374_00523-1,SI
s_008um_00494_00229-1,Colon
s_008um_00386_00503-1,SI
s_008um_00348_00267-1,Colon
s_008um_00463_00238-1,Colon
s_008um_00380_00487-1,SI
s_008um_00514_00275-1,Colon
s_008um_00566_00203-1,Colon
s_008um_00383_00530-1,SI
s_008um_00551_00248-1,Colon
s_008um_00384_00501-1,SI
s_008um_00512_00509-1,SI
s_008um_00643_00449-1,SI
s_008um_00496_00241-1,Colon
s_008um_00369_00291-1,Colon
s_008um_00554_00254-1,Colon
s_008um_00383_00515-1,SI
s_008um_00470_00271-1,Colon
s_008um_00533_00236-1,Colon
s_008um_00361_00211-1,Colon
s_008um_00355_00303-1,Colon
s_008um_00371_00243-1,Colon
s_008um_00545_00438-1,SI
s_008um_00507_00282-1,Colon
s_008um_00327_00249-1,Colon
s_008um_00494_00257-1,Colon
s_008um_00453_00501-1,SI
s_008um_00303_00607-1,SI
s_008um_00542_00450-1,SI
s_008um_00541_00215-1,Colon
s_008um_00431_00226-1,Colon
s_008um_00503_00232-1,Colon
s_008um_00304_00552-1,SI
s_008um_00507_00219-1,Colon
s_008um_00425_00527-1,SI
s_008um_00364_00229-1,Colon
s_008um_00391_00501-1,SI
s_008um_00419_00246-1,Colon
s_008um_00565_00222-1,Colon
s_008um_00368_00301-1,Colon
s_008um_00406_00262-1,Colon
s_008um_00411_00260-1,Colon
s_008um_00592_00247-1,Colon
s_008um_00373_00528-1,SI
s_008um_00451_00238-1,Colon
s_008um_00397_00212-1,Colon
s_008um_00573_00264-1,Colon
s_008um_00403_00262-1,Colon
s_008um_00402_00289-1,Colon
s_008um_00332_00250-1,Colon
s_008um_00347_00252-1,Colon
s_008um_00470_00274-1,Colon
s_008um_00410_00251-1,Colon
s_008um_00432_00524-1,SI
s_008um_00522_00276-1,Colon
s_008um_00576_00265-1,Colon
s_008um_00554_00275-1,Colon
s_008um_00382_00515-1,SI
s_008um_00545_00464-1,SI
s_008um_00379_00532-1,SI
s_008um_00382_00246-1,Colon
s_008um_00379_00290-1,Colon
s_008um_00399_00294-1,Colon
s_008um_00515_00454-1,SI
s_008um_00550_00495-1,SI
s_008um_00382_00289-1,Colon
s_008um_00420_00217-1,Colon
s_008um_00384_00269-1,Colon
s_008um_00370_00542-1,SI
s_008um_00454_00517-1,SI
s_008um_00452_00223-1,Colon
s_008um_00369_00292-1,Colon
s_008um_00407_00498-1,SI
s_008um_00586_00470-1,SI
s_008um_00558_00236-1,Colon
s_008um_00360_00253-1,Colon
s_008um_00444_00255-1,Colon
s_008um_00394_00185-1,Colon
s_008um_00394_00529-1,SI
s_008um_00557_00232-1,Colon
s_008um_00398_00280-1,Colon
s_008um_00518_00270-1,Colon
s_008um_00543_00271-1,Colon
s_008um_00413_00531-1,SI
s_008um_00352_00255-1,Colon
s_008um_00429_00535-1,SI
s_008um_00364_00256-1,Colon
s_008um_00604_00466-1,SI
s_008um_00507_00229-1,Colon
s_008um_00422_00282-1,Colon
s_008um_00357_00540-1,SI
s_008um_00417_00497-1,SI
s_008um_00590_00246-1,Colon
s_008um_00493_00257-1,Colon
s_008um_00637_00450-1,SI
s_008um_00418_00231-1,Colon
s_008um_00555_00462-1,SI
s_008um_00423_00270-1,Colon
s_008um_00599_00251-1,Colon
s_008um_00343_00276-1,Colon
s_008um_00312_00600-1,SI
s_008um_00402_00253-1,Colon
s_008um_00558_00270-1,Colon
s_008um_00589_00250-1,Colon
s_008um_00389_00213-1,Colon
s_008um_00308_00597-1,SI
